DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__D3B9066E064FF8485C582FA787D958A7AE111964, StartTime=2016.05.03-10.05.21, HierarchicalDDC=, DataSize=16647, Duration=0.025902, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId9C99A00246E19ED7EC21A6A13332B9B2_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_FDD461EC4EDF5F99C659709B7A42E__FBBDD204E59CC3E3C9749161169905E65779DA9A, StartTime=2016.05.03-10.05.21, HierarchicalDDC=, DataSize=6899, Duration=0.035841, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090AF89_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.21, Duration=668.547180, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId9C99A00246E19ED7EC21A6A13332B9B2_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__F781C0B0C2693BF17FB27AC24C523D4AD3350E86, StartTime=2016.05.03-10.05.21, HierarchicalDDC=, DataSize=524553, Duration=0.209015, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__EC69846C8DD084F28BBD11A348C2B577D88F8262, StartTime=2016.05.03-10.05.21, HierarchicalDDC=, DataSize=131335, Duration=0.042468, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId9C99A00246E19ED7EC21A6A13332B9B2_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1423AB5FD021F7D2A063652CBFD2D5D24334CF57, StartTime=2016.05.03-10.05.21, HierarchicalDDC=, DataSize=33031, Duration=0.028614, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId9C99A00246E19ED7EC21A6A13332B9B2_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__1AC1C47CE01BB3791E07B3F37B4DEBBD29C103E3, StartTime=2016.05.03-10.05.21, HierarchicalDDC=, DataSize=8455, Duration=0.017770, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_B21C1AFF42ACD5ADC8C382B3A090A__DD3D508F2B287118D83B2811676DC879755E7F88, StartTime=2016.05.03-10.05.21, HierarchicalDDC=, DataSize=4452, Duration=0.039455, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1471_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.22, Duration=0.332795, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_C45F0F7D439FAD52041B1EBC5A8A1__9908241BD20DF14A6AE05F8E6CA9BBBE24B07AB6, StartTime=2016.05.03-10.05.22, HierarchicalDDC=, DataSize=1186, Duration=0.038549, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803FCDCC4C3F000000000800000006000100000000000102000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.22, Duration=16.216110, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__02B54665C520D91F5F701748C4780F8A6005FD33, StartTime=2016.05.03-10.05.22, HierarchicalDDC=, DataSize=8452, Duration=0.017170, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_15564967414184874DBCB89C44D5959C__BA34306FE8A99B5C640F036EF7E052585535A66C, StartTime=2016.05.03-10.05.22, HierarchicalDDC=, DataSize=3559, Duration=0.018068, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF39_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.22, Duration=1.902517, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__7716384CA42A2482D772493A287E45E486704A3F, StartTime=2016.05.03-10.05.22, HierarchicalDDC=, DataSize=65797, Duration=0.030719, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_AE3B82F44B23F0E95EE42F95B1FECF3__C4042932833ADBF653BE0F3E3601E57EBDF5D841, StartTime=2016.05.03-10.05.22, HierarchicalDDC=, DataSize=22665, Duration=0.017770, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionId2E282E584EEED721716592B3ED7CEDB8_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEFD_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.03-10.05.22, Duration=1.847100, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdA6DC8C914ABA3E4E53087393F1EF7953_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__752C88E79A6EEA422A7F7F21AFBC340AAA71BCC3, StartTime=2016.05.03-10.05.22, HierarchicalDDC=, DataSize=65797, Duration=0.027407, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
DDCTransactionIdC5E4E0694E5EA62B225A51A3E8940016_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_222D3F804EB4AB5DA9BDE2BAE545EEF__18DD853840B0F872014C7A0CC5CED56A7A5D3CC6, StartTime=2016.05.03-10.05.22, HierarchicalDDC=, DataSize=22665, Duration=0.021081, RunGuid=RunID6A4E7E2F49C9C3E37CFFE0A2F0E332B5
